raceId,driverId,total_laps,avg_lap_time,total_race_time,lap_time_std,num_pit_stops,total_pit_time,driver_name,positionOrder,grid,points,statusId,circuitId,position_tier
12,10,44,115283.75,5072485,17361.03427972043,0.0,0.0,Timo Glock,10,7,0.0,1,13,1
12,15,21,123219.33333333333,2587606,23913.00190133672,0.0,0.0,Jarno Trulli,16,2,0.0,23,13,2
12,16,44,115309.79545454546,5073631,17017.45582135022,0.0,0.0,Adrian Sutil,11,11,0.0,1,13,2
12,17,44,115180.77272727272,5067954,17365.791539910042,0.0,0.0,Mark Webber,9,9,0.0,1,13,1
12,20,44,114428.86363636363,5034870,17355.881403239015,0.0,0.0,Sebastian Vettel,3,8,6.0,1,13,0
12,21,44,114362.13636363637,5031934,17782.346782617064,0.0,0.0,Giancarlo Fisichella,2,1,8.0,1,13,0
12,22,44,115146.72727272728,5066456,17017.940171810806,0.0,0.0,Rubens Barrichello,7,4,2.0,1,13,1
12,67,44,115388.65909090909,5077101,16940.500695413662,0.0,0.0,Sébastien Buemi,12,16,0.0,1,13,2
12,69,44,116663.0,5133172,16676.963303409153,0.0,0.0,Luca Badoer,14,20,0.0,1,13,2
13,1,52,86531.19230769231,4499622,4667.730208101786,0.0,0.0,Lewis Hamilton,12,1,0.0,3,14,2
13,2,53,88002.22641509434,4664118,5387.347965520376,0.0,0.0,Nick Heidfeld,7,15,2.0,1,14,1
13,3,51,90728.80392156863,4627169,9177.976764014187,0.0,0.0,Nico Rosberg,16,18,0.0,12,14,2
13,4,53,87563.92452830188,4640888,4873.187469160109,0.0,0.0,Fernando Alonso,5,8,4.0,1,14,1
13,5,53,87592.43396226416,4642399,4863.024108631591,0.0,0.0,Heikki Kovalainen,6,4,3.0,1,14,1
13,6,53,89506.96226415095,4743869,11585.007230770736,0.0,0.0,Kazuki Nakajima,10,17,0.0,1,14,1
